Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
created_at,user-id,user-screen_name,text,tweet-id,tweet-place,user-created_at,user-followers_count,user-friends_count,user-statuses_count,user-source,user-time_zone,user-geo_enabled,coordinates lng,coordinates lat,user-location,user-language,retweeted_text,retweeted_id,
,,,,,,,,,,,,,,,,,,,
Sun Dec 03 22:17:29 +0000 2017,219205461,bongji_,Click! Starwars https://t.co/YmSZL7ugXy,937445713012604928,,Wed Nov 24 06:26:28 +0000 2010,14,44,1926,"<a href=""http://starwars.tf.co.kr"" rel=""nofollow"">Click! StarWars</a>",Seoul,False,,,seoul,ko,0,,
,,,,,,,,,,,,,,,,,,,
Sun Dec 03 22:17:39 +0000 2017,2492215340,jessiemaltin,@AndrewJNoe @starwars @starwarstuff @LEGO_Group Love the festive photo and name. Very sweet,937445756104884224,,Tue May 13 01:27:10 +0000 2014,2618,391,6911,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,True,,,Los Angeles/Manchester UK,en,0,,
,,,,,,,,,,,,,,,,,,,
Sun Dec 03 22:17:47 +0000 2017,888903129965752322,matty78961,RT @StarWarsNewsNet: Exclusive interview with First Order Droid BB-9E! #StarWars  #TheLastJedi https://t.co/NJii3CjQrF,937445789374312449,,Sat Jul 22 23:26:36 +0000 2017,87,663,2900,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,False,,,"New Albany, OH",en,0,,
,,,,,,,,,,,,,,,,,,,
Sun Dec 03 22:17:48 +0000 2017,856474388,WALToshiakiDis2,RT @starwars: Loyal co-pilot. Heroic friend.  Get tickets to #TheLastJedi: https://t.co/6vE5KUSv1f https://t.co/DGtYST3tgM,937445790686916608,,Mon Oct 01 14:36:50 +0000 2012,452,585,47330,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,True,,,????????????????,ja,0,,
,,,,,,,,,,,,,,,,,,,
Sun Dec 03 22:17:49 +0000 2017,316239265,socalrider99,RT @dolewhipdaily: #Disney if I had a $135 #starwars shirt I would have a smile from ear to ear! This guy looks like he just woke up..? ,937445797431427073,,Mon Jun 13 04:27:07 +0000 2011,3525,286,18909,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",,False,,,"San Diego, Ca",en,0,,
,,,,,,,,,,,,,,,,,,,
Sun Dec 03 22:17:49 +0000 2017,316239265,socalrider99,RT @dolewhipdaily: #Disney if I had a $135 #starwars shirt I would have a smile from ear to ear! This guy looks like he just woke up..? ,937445797431427073,,Mon Jun 13 04:27:07 +0000 2011,3525,286,18909,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",,False,,,"San Diego, Ca",en,0,#Disney if I had a $135 #starwars shirt I would have a smile from ear to ear! This guy looks like he just woke up.... https://t.co/AN5IB4XGTQ,9.37439E+17
,,,,,,,,,,,,,,,,,,,
